Muster-Beispiel Report (Excel),,,,,,,,,,,,,
"Die Informationen in den Reports werden auf Basis der Datensätze generiert, welche entsprechend den gesetzlichen Bestimmungen für intelligente Messgeräte (Elektrizitätswirtschafts- und organisationsgesetz 2010 sowie Datenformat und VerbrauchsinformationsdarstellungsVO 2012), vom Netzbetreiber übermittelt werden. Die EDA GmbH übernimmt daher keinerlei Gewähr für die Aktualität, Korrektheit, Vollständigkeit oder Qualität der bereitgestellten Informationen. Jegliche Haftungsansprüche gegen die EDA GmbH, die durch die Nutzung oder Nichtnutzung der dargebotenen Informationen bzw. durch die Nutzung fehlerhafter und unvollständiger Informationen verursacht wurden, sind daher ausgeschlossen. Zur Abklärung fehlender, inkorrekter oder unvollständiger Informationen in den Reports kann sich jede betroffene Person an den zuständigen Netzbetreiber wenden.",,,,,,,,,,,,,
MeteringpointID,AT9990000991100000000000209351633,AT9990000991100000000000209351633,AT9990000991100000000000209351633,AT9990000991100000000000209351644,AT9990000991100000000000209351644,AT9990000991100000000000209351644,AT9990000991100000000007000091655,AT9990000991100000000007000091655,AT9990000991100000000007000091655,AT9990000991100000000099000003411,TOTAL,TOTAL,TOTAL
Energy direction,CONSUMPTION,CONSUMPTION,CONSUMPTION,CONSUMPTION,CONSUMPTION,CONSUMPTION,CONSUMPTION,CONSUMPTION,CONSUMPTION,GENERATION,,,
Period start,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00,01.01.2021 00:00:00
Period end,01.06.2021 00:00:00,01.06.2021 00:00:00,01.06.2021 00:00:00,01.06.2021 00:00:00,01.06.2021 00:00:00,01.06.2021 00:00:00,01.06.2021 00:00:00,01.06.2021 00:00:00,01.06.2021 00:00:00,01.06.2021 00:00:00,01.06.2021 00:00:00,01.06.2021 00:00:00,01.12.2021 00:00:00
MeteringReason,SM Datenübermittlung,SM Datenübermittlung,SM Datenübermittlung,SM Datenübermittlung,SM Datenübermittlung,SM Datenübermittlung,SM Datenübermittlung,SM Datenübermittlung,SM Datenübermittlung,SM Datenübermittlung,,,
Metering Interval,QH (viertelstündlich),QH (viertelstündlich),QH (viertelstündlich),QH (viertelstündlich),QH (viertelstündlich),QH (viertelstündlich),QH (viertelstündlich),QH (viertelstündlich),QH (viertelstündlich),QH (viertelstündlich),,,
Number of Metering Intervals,,,,,,,,,,,,,
Metercode,Gesamtverbrauch lt. Messung (bei Teilnahme gem. Erzeugung) [KWH],Anteil gemeinschaftliche Erzeugung [KWH],Eigendeckung gemeinschaftliche Erzeugung [KWH],Gesamtverbrauch lt. Messung (bei Teilnahme gem. Erzeugung) [KWH],Anteil gemeinschaftliche Erzeugung [KWH],Eigendeckung gemeinschaftliche Erzeugung [KWH],Gesamtverbrauch lt. Messung (bei Teilnahme gem. Erzeugung) [KWH],Anteil gemeinschaftliche Erzeugung [KWH],Eigendeckung gemeinschaftliche Erzeugung [KWH],Gesamte gemeinschaftliche Erzeugung [KWH],Gesamtverbrauch lt. Messung (bei Teilnahme gem. Erzeugung) [KWH],Anteil gemeinschaftliche Erzeugung [KWH],Eigendeckung gemeinschaftliche Erzeugung [KWH]
Spaltensumme,"2,753.335000","3,803.049211","1,193.707005","1,101.810000",781.257360,276.500688,"2,243.011000","2,613.865423",930.079286,"7,198.172000","6,098.156000","7,198.171994","2,400.286979"
01.01.2021 00:00:00,0.662000,0.000000,0.000000,0.418000,0.000000,0.000000,0.398000,0.000000,0.000000,0.000000,1.478000,0.000000,0.000000
01.01.2021 00:15:00,0.678000,0.000000,0.000000,0.418000,0.000000,0.000000,0.404000,0.000000,0.000000,0.000000,1.500000,0.000000,0.000000
01.01.2021 00:30:00,0.214000,0.000000,0.000000,0.424000,0.000000,0.000000,0.407000,0.000000,0.000000,0.000000,1.045000,0.000000,0.000000
01.01.2021 00:45:00,0.070000,0.000000,0.000000,0.439000,0.000000,0.000000,0.403000,0.000000,0.000000,0.000000,0.912000,0.000000,0.000000
01.01.2021 01:00:00,0.063000,0.000000,0.000000,0.025000,0.000000,0.000000,0.411000,0.000000,0.000000,0.000000,0.499000,0.000000,0.000000
01.01.2021 01:15:00,0.082000,0.000000,0.000000,0.050000,0.000000,0.000000,0.439000,0.000000,0.000000,0.000000,0.571000,0.000000,0.000000
01.01.2021 01:30:00,0.112000,0.000000,0.000000,0.050000,0.000000,0.000000,0.393000,0.000000,0.000000,0.000000,0.555000,0.000000,0.000000
01.01.2021 01:45:00,0.114000,0.000000,0.000000,0.050000,0.000000,0.000000,0.403000,0.000000,0.000000,0.000000,0.567000,0.000000,0.000000
01.01.2021 02:00:00,0.085000,0.000000,0.000000,0.049000,0.000000,0.000000,0.406000,0.000000,0.000000,0.000000,0.540000,0.000000,0.000000
01.01.2021 02:15:00,0.080000,0.000000,0.000000,0.050000,0.000000,0.000000,0.402000,0.000000,0.000000,0.000000,0.532000,0.000000,0.000000
01.01.2021 02:30:00,0.064000,0.000000,0.000000,0.041000,0.000000,0.000000,0.442000,0.000000,0.000000,0.000000,0.547000,0.000000,0.000000
01.01.2021 02:45:00,0.114000,0.000000,0.000000,0.071000,0.000000,0.000000,0.401000,0.000000,0.000000,0.000000,0.586000,0.000000,0.000000
01.01.2021 03:00:00,0.055000,0.000000,0.000000,0.230000,0.000000,0.000000,0.392000,0.000000,0.000000,0.000000,0.677000,0.000000,0.000000
01.01.2021 03:15:00,0.245000,0.000000,0.000000,0.008000,0.000000,0.000000,0.354000,0.000000,0.000000,0.000000,0.607000,0.000000,0.000000
01.01.2021 03:30:00,0.064000,0.000000,0.000000,0.007000,0.000000,0.000000,0.354000,0.000000,0.000000,0.000000,0.425000,0.000000,0.000000
01.01.2021 03:45:00,0.080000,0.000000,0.000000,0.007000,0.000000,0.000000,0.364000,0.000000,0.000000,0.000000,0.451000,0.000000,0.000000
01.01.2021 04:00:00,0.094000,0.000000,0.000000,0.010000,0.000000,0.000000,0.358000,0.000000,0.000000,0.000000,0.462000,0.000000,0.000000
01.01.2021 04:15:00,0.095000,0.000000,0.000000,0.156000,0.000000,0.000000,0.354000,0.000000,0.000000,0.000000,0.605000,0.000000,0.000000
01.01.2021 04:30:00,0.242000,0.000000,0.000000,0.076000,0.000000,0.000000,0.351000,0.000000,0.000000,0.000000,0.669000,0.000000,0.000000
01.01.2021 04:45:00,0.060000,0.000000,0.000000,0.005000,0.000000,0.000000,0.134000,0.000000,0.000000,0.000000,0.199000,0.000000,0.000000
01.01.2021 05:00:00,0.092000,0.000000,0.000000,0.006000,0.000000,0.000000,0.055000,0.000000,0.000000,0.000000,0.153000,0.000000,0.000000
01.01.2021 05:15:00,0.062000,0.000000,0.000000,0.005000,0.000000,0.000000,0.017000,0.000000,0.000000,0.000000,0.084000,0.000000,0.000000
01.01.2021 05:30:00,0.099000,0.000000,0.000000,0.004000,0.000000,0.000000,0.021000,0.000000,0.000000,0.000000,0.124000,0.000000,0.000000
01.01.2021 05:45:00,0.083000,0.000000,0.000000,0.018000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.121000,0.000000,0.000000
01.01.2021 06:00:00,0.092000,0.000000,0.000000,0.013000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.121000,0.000000,0.000000
01.01.2021 06:15:00,0.058000,0.000000,0.000000,0.002000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.076000,0.000000,0.000000
01.01.2021 06:30:00,0.104000,0.000000,0.000000,0.002000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.122000,0.000000,0.000000
01.01.2021 06:45:00,0.062000,0.000000,0.000000,0.002000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.080000,0.000000,0.000000
01.01.2021 07:00:00,0.063000,0.000000,0.000000,0.002000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.081000,0.000000,0.000000
01.01.2021 07:15:00,0.100000,0.000000,0.000000,0.008000,0.000000,0.000000,0.018000,0.000000,0.000000,0.000000,0.126000,0.000000,0.000000
01.01.2021 07:30:00,0.090000,0.000000,0.000000,0.018000,0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.133000,0.000000,0.000000
01.01.2021 07:45:00,0.100000,0.000000,0.000000,0.006000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.266000,0.000000,0.000000
01.01.2021 08:00:00,0.068000,0.000000,0.000000,0.002000,0.000000,0.000000,0.139000,0.000000,0.000000,0.000000,0.209000,0.000000,0.000000
01.01.2021 08:15:00,0.293000,0.013558,0.013558,0.002000,0.000093,0.000093,0.094000,0.004350,0.004350,0.018000,0.389000,0.018001,0.018001
01.01.2021 08:30:00,0.124000,0.031928,0.031928,0.002000,0.000515,0.000515,0.041000,0.010557,0.010557,0.043000,0.167000,0.043000,0.043000
01.01.2021 08:45:00,0.061000,0.062812,0.061000,0.002000,0.002059,0.002000,0.038000,0.039129,0.038000,0.104000,0.101000,0.104000,0.101000
01.01.2021 09:00:00,0.077000,0.068381,0.068381,0.016000,0.014209,0.014209,0.041000,0.036410,0.036410,0.119000,0.134000,0.119000,0.119000
01.01.2021 09:15:00,0.176000,0.102987,0.102987,0.014000,0.008192,0.008192,0.039000,0.022821,0.022821,0.134000,0.229000,0.134000,0.134000
01.01.2021 09:30:00,0.247000,0.104715,0.104715,0.031000,0.013142,0.013142,0.031000,0.013142,0.013142,0.131000,0.309000,0.130999,0.130999
01.01.2021 09:45:00,0.141000,0.111053,0.111053,0.058000,0.045681,0.045681,0.027000,0.021265,0.021265,0.178000,0.226000,0.177999,0.177999
01.01.2021 10:00:00,0.123000,0.123000,0.123000,0.039000,0.039000,0.039000,0.019000,0.019000,0.019000,0.181000,0.181000,0.181000,0.181000
01.01.2021 10:15:00,0.099000,0.095211,0.095211,0.055000,0.052895,0.052895,0.055000,0.052895,0.052895,0.201000,0.209000,0.201001,0.201001
01.01.2021 10:30:00,0.065000,0.073784,0.065000,0.104000,0.118054,0.104000,0.016000,0.018162,0.016000,0.210000,0.185000,0.210000,0.185000
